symbol,file,bars,kept_event_horizon_rows,first_ts,last_ts
CYBER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CYBER_5m.csv,250137,99896,2023-08-21 21:00:00,2026-01-12 09:10:00
D,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\D_5m.csv,104099,39032,2025-01-09 19:00:00,2026-01-12 07:20:00
DAM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAM_5m.csv,40411,15304,2025-08-18 21:30:00,2026-01-12 06:45:00
DAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAR_5m.csv,389930,115944,2022-04-29 12:30:00,2026-01-12 10:35:00
DASH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DASH_5m.csv,624649,274908,2020-02-04 17:05:00,2026-01-12 15:05:00
DEEP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEEP_5m.csv,74447,33396,2025-04-22 17:30:00,2026-01-12 07:00:00
DEFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEFI_5m.csv,565318,216952,2020-08-28 16:00:00,2026-01-12 13:45:00
DEGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGEN_5m.csv,119927,52112,2024-11-15 20:30:00,2026-01-12 07:30:00
DEGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGO_5m.csv,111839,45032,2024-12-13 22:15:00,2026-01-12 07:25:00
DENT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DENT_5m.csv,505428,180260,2021-03-24 13:00:00,2026-01-12 11:55:00
DEXE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEXE_5m.csv,108690,45808,2024-12-24 20:30:00,2026-01-12 07:20:00
DF,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DF_5m.csv,106959,40784,2024-12-30 20:45:00,2026-01-12 07:20:00
DGB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DGB_5m.csv,497367,124752,2021-04-21 12:30:00,2026-01-12 11:40:00
DIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DIA_5m.csv,132590,55980,2024-10-02 21:30:00,2026-01-12 07:40:00
DMC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DMC_5m.csv,56246,24436,2025-06-24 22:00:00,2026-01-12 06:50:00
DODOX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DODOX_5m.csv,253883,100148,2023-08-08 21:00:00,2026-01-12 09:15:00
DOGE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOGE_5m.csv,579411,238596,2020-07-10 18:00:00,2026-01-12 14:10:00
